source_file,source_page,raw_page_text
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,1,"Private Funds Group
Benelux Private Equity Market Map
H1 2026
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,2,"Disclaimer
1
This presentation (the ""Presentation"") is being furnished on a confidential basis for informational and discussion purposes only and does not constitute an 
offer to sell or a solicitation of an offer to purchase any security. Any such offer or solicitation with respect to any security or fund discussed herein shall be 
made only pursuant to a confidential private placement memorandum relating to such security or fund, which describes risks related to an investment in such 
security or fund as well as other important information about such security or fund and its sponsor. The information set forth herein does not purport to be 
complete and is subject to change. This Presentation is qualified in its entirety by all of the information set forth in any such memorandum, including without 
limitation all of the cautionary statements set forth in the front of a memorandum and the ""Risk Factors and Conflicts of Interest"" section of any such 
memorandum. Any such memorandum must be read carefully in its entirety prior to making an investment. This Presentation does not constitute a part of any 
memorandum of any fund. 
The information contained herein must be treated in a confidential manner and may not be reproduced, used or disclosed, in whole or in part, without the prior 
written consent of Evercore Group L.L.C. (“Evercore”). Disclosure to persons other than the recipient and its representatives is strictly prohibited. Past 
performance is not necessarily indicative of future results, and nothing herein is, or shall be relied on as, a promise or representation of future performance. 
There can be no assurance that any fund will achieve comparable results, that targeted returns, diversification or asset allocations will be met or that any fund 
will be able to implement its investment strategy and investment approach or achieve its investment objective. Actual returns on unrealized investments will 
depend on, among other factors, future operating results, the value of the assets and market conditions at the time of disposition, legal and contractual 
restrictions on transfer that may limit liquidity, any related transaction costs and the timing and manner of sale, all of which may differ from the assumptions 
and circumstances on which the valuations used in the prior performance data contained herein are based. Accordingly, the actual realized returns on 
unrealized investments may differ materially from the returns indicated herein. 
Statements contained in this Presentation that are not historical facts are based on current expectations, estimates, projections, opinions, and beliefs of the 
general partner of the Fund. Such statements involve known and unknown risks, uncertainties and other factors, and undue reliance should not be placed 
thereon. In addition, this Presentation contains ""forward-looking statements."" Actual events or results or the actual performance may differ materially from 
those reflected or contemplated in such forward-looking statements. 
Certain economic and market information contained herein has been obtained from published sources prepared by third parties and in certain cases has not 
been updated through the date hereof. While such sources are believed to be reliable, none of Evercore nor any of its affiliates have made any representation 
or warranty, express or implied, with respect to the fairness, correctness, accuracy, reasonableness or completeness of any of the information contained 
herein (including but not limited to information obtained from third parties unrelated to Evercore), and they expressly disclaim any responsibility or liability 
therefore. None of Evercore nor any of its affiliates have any responsibility to update any of the information provided in this summary document. 
THIS SUMMARY IS NOT INTENDED TO CONSTITUTE LEGAL, TAX, OR ACCOUNTING ADVICE OR INVESTMENT RECOMMENDATIONS. 
PROSPECTIVE INVESTORS SHOULD CONSULT THEIR OWN ADVISORS ABOUT SUCH MATTERS.
The products mentioned in this document may not be eligible for sale in some states or countries, nor suitable for all types of investors; their value and the 
income they produce may fluctuate and/or be adversely affected by exchange rates, interest rates, commodity prices or other factors. One or more directors, 
officers, and/or employees of Evercore or its affiliated companies may be a director of the issuer of the securities mentioned in this document. 
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,"2
Fund Size
€200m
€400m
€100m
€1,000m
€300m
€500m
Based on Preqin and Evercore PFG market intelligence.
Includes Benelux private equity funds with vintages from 2021 to 2023.
1 Delta Equity Partners Technology & Health Fund
2 Value Enhancement Partners Special Situations IV 
All fund sizes are in millions.
* Denotes target fund size.
** Denotes prior vintage/fund size.
Benelux Private Equity Market Map
Fortino
Capital Growth
PE II
(€377)
Freshstream II
(€762)
Synergia
Capital
Fund VI
(€200)
Lexar
Partners
Fund I
(€55)
IceLake
Capital
Fund II
(€350)
Sofindev VI
(€250)
Mentha
Capital VII
(€264)
Torqx
Capital
Partners II
(€230)
Delta
Technology &
Health
Fund
(€75)1
Quadrum
Investment
Fund IV
(€425)
Forbion
Growth
Opportunities
Fund II
(€616)
Value
Enhancement
Special
Situations IV
(€140)2
Capital A 
Investment 
Partners 
Fund IX 
(€350)
Gilde
Healthcare VI
(€740)
Parcom
Fund VII
(€960)
Rivean 
Buyout 
Fund VII
(€1,580)
Alpha
Private Equity
Fund 8
(€1,500)
Strada
Partners
Fund I
(€200)
2022
2023
2021
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,"3
Fund Size
€200m
€400m
€100m
€1,000m
€300m
€500m
Based on Preqin and Evercore PFG market intelligence.
Includes Benelux private equity funds with vintages from 2024 to Potentially returning to market.
1 Vortex Capital Partners Buyout Fund IV
2 Value Enhancement Partners Special Situations V
All fund sizes are in millions.
* Denotes target fund size.
** Denotes prior vintage/fund size.
Benelux Private Equity Market Map (Cont’d)
Main
Foundation II 
(€507)
Holland 
Capital
Growth and
Buyout V
(€225)
M80 
Capital 
Fund II 
(€250*)
Vendis 
Capital IV 
(€525)
Lexar
Partners
Fund II
(€120m*)
Vortex
Capital
Buyout
Fund IV
(€145)1
NewPort
Buyout
Fund III
(€175*)
H2 Equity
Partners
Fund VII
(€250)
365 Capital
Fund II
(€255)
IceLake
Capital 
Fund III
(€700)
Strada
Partners
Fund II
(€300*)
Nyver
Fund I
(€335)
GEM
Benelux VI
(€600)
2026
2025
Fortino
Capital
Growth PE III
(€700)
Bencis
Buyout
Fund VII
(€625)
Torqx 
Capital 
Partners III 
(€230**)
Bolster
Investments III
Cooperatief U.A.
(€300-350*)
Sofindev VII
(€250**)
Quadrum
Investment
Fund V
(€500-600*)
Mentha 
Capital VIII 
(€264**)
IceLake 
Capital
Fund IV 
(€700**)
Gilde
Healthcare
Private
Equity V
(€750*)
Avedon V 
(€612**)
Nobel
Capital
Partners
Fund III
(€100m*)
Foreman
Capital
Fund III
(€250m*)
DTE Capital
Partners
Fund I
(€300m*)
Nordian
Fund IV
(€350-400m*)
Main
Capital IX &
Foundation III
(€4,500*)
Forbion
Growth
Opportunities
Fund III
(€1,200)
Egeria
Private Equity
Fund VI 
(€1,250)
Main 
Capital VIII 
(€1,933)
2024
Potentially 
returning to market 
Capital A 
Investment 
Partners 
Fund X 
(€350**)
Intersaction
Fund IV
(€150*)
Standard 
Investment 
Fund V
(€150)
Value
Enhancement
Special
Situations V
(€230m)2
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,5,"4
Benelux Private Equity Fundraise Timeline
Closed funds
Final closing/anticipated final closing date
GPs in the market with their latest fund
GPs expected to launch during this period
* Denotes target fund size.
** Denotes prior vintage/fund size.
All fund sizes are in millions.
Source: Preqin, news releases, PFG market intelligence.
Fund Manager
Fund
Vintage
Fund Size (m)
Fund Manager 
HQ
Pre-
2024 H1
2024
2025
2026
Post-H2
2026
H1
H2
H1
H2
H1
H2
Lexar Partners
Lexar Partners Fund I
2022
€55
Laren
DELTA Equity Partners
Delta Equity Partners Technology & Health Fund
2022
€75
Amsterdam
Torqx Capital Partners
Torqx Capital Partners II
2022
€230
Bussum
Sofindev
Sofindev VI
2022
€250
Diegem
Mentha Capital
Mentha Capital VII
2022
€264
Amsterdam
Freshstream Investment Partners
Freshstream II
2021
€762
London
Synergia Capital Partners
Synergia Capital Fund VI
2022
€200
Veenendaal
Forbion
Forbion Growth Opportunities Fund II
2022
€616
Naarden
IceLake Capital
IceLake Capital Fund II
2022
€350
Amsterdam
Fortino Capital
Fortino Capital Growth PE II
2021
€377
Antwerp
VE Partners
Value Enhancement Partners Special Situations IV
2023
€140
Amsterdam
Capital A
Capital A Investment Partners Fund IX
2023
€350
Amsterdam
Gilde Healthcare Partners
Gilde Healthcare VI
2023
€740
Utrecht
Parcom
Parcom Fund VII
2023
€960
Amsterdam
Quadrum Capital
Quadrum Investment Fund IV
2022
€425
Almelo/Woerden
Strada Partners
Strada Partners Fund I
2023
€200
Antwerp
Holland Capital
Holland Capital Growth and Buyout V
2024
€225
Amsterdam
Main Capital Partners
Main Foundation II
2024
€507
The Hague
Main Capital Partners
Main Capital VIII
2024
€1,933
The Hague
Vortex Capital Partners
Vortex Capital Partners Buyout Fund IV
2024
€145
Amsterdam
Alpha Group
Alpha Private Equity Fund 8
2023
€1,500
Luxembourg
Vendis Capital
Vendis Capital IV
2024
€525
Brussels
Forbion
Forbion Growth Opportunities Fund III
2024
€1,200
Naarden
Rivean Capital
Rivean Buyout Fund VII
2023
€1,580
Amsterdam
H2 Equity Partners
H2 Equity Partners Fund VII
2024
€250
Amsterdam
IceLake Capital
IceLake Capital Fund III
2024
€700
Amsterdam
Egeria
Egeria Private Equity Fund VI
2024
€1,250
Amsterdam
Gilde Equity Management Benelux
GEM Benelux VI
2025
€600
Houten
365 Capital
365 Capital Fund II
2024
€255
Amsterdam
VE Partners
Value Enhancement Partners Special Situations V
2025
€230
Amsterdam
Nyver
Nyver Fund I
2025
€335
Amsterdam
Bencis Capital Partners
Bencis Buyout Fund VII
2025
€625
Amsterdam
Fortino Capital
Fortino Capital Growth PE III
2025
€700
Antwerp
Standard Investment
Standard Investment Fund V
2025
€150
Amsterdam
Capital A
Capital A Investment Partners Fund X
2025
€350**
Amsterdam
NewPort Capital
NewPort Buyout Fund III
2024
€175*
Amsterdam
M80
M80 Capital Fund II
2024
€250*
Brussels
Lexar Partners
Lexar Partners Fund II
2024
€120*
Laren
Nobel Capital Partners
Nobel Capital Partners Fund III
2025
€100*
Amsterdam
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,6,"5
Benelux Private Equity Fundraise Timeline (Cont’d)
Closed funds
Final closing/anticipated final closing date
GPs in the market with their latest fund
GPs expected to launch during this period
* Denotes target fund size.
** Denotes prior vintage/fund size.
All fund sizes are in millions.
Source: Preqin, news releases, PFG market intelligence.
Fund Manager
Fund
Vintage
Fund Size (m)
Fund Manager 
HQ
Pre-
2024 H1
2024
2025
2026
Post-H2
2026
H1
H2
H1
H2
H1
H2
Intersaction
Intersaction Fund IV
2025
€150*
Blaricum
Foreman Capital
Foreman Capital Fund III
2025
€250*
Amsterdam
DTE Capital Partners
DTE Capital Partners Fund I
2025
€300*
Amsterdam
Strada Partners
Strada Partners Fund II
2025
€300*
Antwerp
Nordian Capital Partners
Nordian Fund IV
2025
€350-400*
Amsterdam
Gilde Healthcare Partners
Gilde Healthcare Private Equity V
2026
€750*
Utrecht
Sofindev
Sofindev VII
2022**
€250**
Brussels
Main Capital Partners
Main Capital IX & Foundation III
2026
€4,500*
The Hague
Quadrum Capital
Quadrum Investment Fund V
2026
€500-600*
Almelo/Woerden
Bolster Investment Partners
Bolster Investments III Cooperatief U.A.
2021**
€300-350*
Amsterdam
Mentha Capital
Mentha Capital VIII
2022**
€264**
Amsterdam
Torqx Capital Partners
Torqx Capital Partners III
2022**
€230**
Bussum
IceLake Capital
IceLake Capital Fund IV
2024**
€700**
Amsterdam
Avedon Capital Partners
Avedon V
2020**
€612**
Amsterdam
"
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,7,"15 STANHOPE GATE
LONDON, W1K 1LN
TEL: +44 (0) 207 653 6000
55 EAST 52 ND STREET
NEW YORK, NY 10055
TEL: +1 (212) 857 3100
FLOOR 14, TWO EXCHANGE 
SQUARE, 8 CONNAUGHT PLACE
HONG KONG
TEL: +852 3983 2600
"
Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,1,"Private Funds Group
DACH Private Equity Market Map
H1 2026
"
Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,2,"Disclaimer
1
This presentation (the ""Presentation"") is being furnished on a confidential basis for informational and discussion purposes only and does not constitute an 
offer to sell or a solicitation of an offer to purchase any security. Any such offer or solicitation with respect to any security or fund discussed herein shall be 
made only pursuant to a confidential private placement memorandum relating to such security or fund, which describes risks related to an investment in such 
security or fund as well as other important information about such security or fund and its sponsor. The information set forth herein does not purport to be 
complete and is subject to change. This Presentation is qualified in its entirety by all of the information set forth in any such memorandum, including without 
limitation all of the cautionary statements set forth in the front of a memorandum and the ""Risk Factors and Conflicts of Interest"" section of any such 
memorandum. Any such memorandum must be read carefully in its entirety prior to making an investment. This Presentation does not constitute a part of any 
memorandum of any fund. 
The information contained herein must be treated in a confidential manner and may not be reproduced, used or disclosed, in whole or in part, without the prior 
written consent of Evercore Group L.L.C. (“Evercore”). Disclosure to persons other than the recipient and its representatives is strictly prohibited. Past 
performance is not necessarily indicative of future results, and nothing herein is, or shall be relied on as, a promise or representation of future performance. 
There can be no assurance that any fund will achieve comparable results, that targeted returns, diversification or asset allocations will be met or that any fund 
will be able to implement its investment strategy and investment approach or achieve its investment objective. Actual returns on unrealized investments will 
depend on, among other factors, future operating results, the value of the assets and market conditions at the time of disposition, legal and contractual 
restrictions on transfer that may limit liquidity, any related transaction costs and the timing and manner of sale, all of which may differ from the assumptions 
and circumstances on which the valuations used in the prior performance data contained herein are based. Accordingly, the actual realized returns on 
unrealized investments may differ materially from the returns indicated herein. 
Statements contained in this Presentation that are not historical facts are based on current expectations, estimates, projections, opinions, and beliefs of the 
general partner of the Fund. Such statements involve known and unknown risks, uncertainties and other factors, and undue reliance should not be placed 
thereon. In addition, this Presentation contains ""forward-looking statements."" Actual events or results or the actual performance may differ materially from 
those reflected or contemplated in such forward-looking statements. 
Certain economic and market information contained herein has been obtained from published sources prepared by third parties and in certain cases has not 
been updated through the date hereof. While such sources are believed to be reliable, none of Evercore nor any of its affiliates have made any representation 
or warranty, express or implied, with respect to the fairness, correctness, accuracy, reasonableness or completeness of any of the information contained 
herein (including but not limited to information obtained from third parties unrelated to Evercore), and they expressly disclaim any responsibility or liability 
therefore. None of Evercore nor any of its affiliates have any responsibility to update any of the information provided in this summary document. 
THIS SUMMARY IS NOT INTENDED TO CONSTITUTE LEGAL, TAX, OR ACCOUNTING ADVICE OR INVESTMENT RECOMMENDATIONS. 
PROSPECTIVE INVESTORS SHOULD CONSULT THEIR OWN ADVISORS ABOUT SUCH MATTERS.
The products mentioned in this document may not be eligible for sale in some states or countries, nor suitable for all types of investors; their value and the 
income they produce may fluctuate and/or be adversely affected by exchange rates, interest rates, commodity prices or other factors. One or more directors, 
officers, and/or employees of Evercore or its affiliated companies may be a director of the issuer of the securities mentioned in this document. 
"
Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,3,"DACH Private Equity Market Map
2
Fund Size
€200m
€400m
€100m
€1,500m
€300m
€500m
Based on Preqin and Evercore PFG market intelligence.
Includes DACH private equity funds with vintages from 2021 to 2024.
1 Bregal Unternehmerkapital IV
2 LEA Mittelstandspartner III
3 Deutsche Mittelstandsholding für Industriebeteiligungen III
All fund sizes are in millions.
* Denotes target fund size.
** Denotes prior vintage/fund size.
PINOVA
Capital Fund 3
(€163)
Constellation VI
(€88)
Maxburg
Beteiligungen IV
(€450)
SHS VI
Healthcare
Investments
(€270)
Maguar 
Capital II 
(€306)
Beyond
Capital
Partners
Fund III 
(€181)
EOS
Fund II
(€300)
BID Equity
Fund III
(€310)
eevolve
Partnership
(€372)
DBAG
Expansion
Capital Fund IV
(€250)
Gyrus
Capital II
(€310)
EMERAM
Private Equity
Fund II
(€200)
Vidia
Climate
Fund I
($415)
Elvaston
Capital
Fund VI
(€825)
EPIC III
(€2,000)
Bregal IV
(€2,650)1
Armira
Growth
Fund I
(€200)
SEVEST
Fund I
(€250*)
GREENPEAK
Fund III
(€300)
Borromin
Capital
Fund V
(€300**)
Endeavour
Medtech
Growth III
(CHF375*)
LEA III
(€565)2
Deutsche
Für III
(€600*)3
GENUI III
(€600*)
2023
 
2022
2021
2024
"
