fund_name;manager_name;vintage_year;strategy;geography;irr;tvpi;dpi;nav;commitment;paid_in;distributions;fund_size;source_name;source_file;source_page;raw_text;data_quality_flag;;
Fund (;Fund (;2021.0;buyout;europe;;;;;;;;€ 75;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;3;Fund (€75)1;needs_review_short_name;;
Fund 8 (;Fund 8 (;2021.0;buyout;europe;;;;;;;;€ 1,50;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;3;Fund 8 (€1,500);clean_extraction;;
Fund I (;Fund;2021.0;buyout;europe;;;;;;;;€ 200;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;3;Fund I (€200);clean_extraction;;
PE II (;PE;2021.0;buyout;europe;;;;;;;;€ 377;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;3;PE II (€377);clean_extraction;;
Rivean Buyout Fund VII (;Rivean Buyout Fund;2021.0;buyout;europe;;;;;;;;€ 1,58;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;3;Rivean Buyout Fund VII (€1,580);clean_extraction;;
Buyout Fund III (;Buyout Fund;2024.0;buyout;europe;;;;;;;;€ 175;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Buyout Fund III (€175*);clean_extraction;;
Capital Fund III (;Capital Fund;2024.0;buyout;europe;;;;;;;;€250m;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Capital Fund III (€250m*);clean_extraction;;
Capital Fund IV (;Capital Fund;2024.0;buyout;europe;;;;;;;;€ 700;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Capital Fund IV (€700**);clean_extraction;;
Fund I (;Fund;2024.0;buyout;europe;;;;;;;;€300m;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund I (€300m*);clean_extraction;;
Fund II (;Fund;2024.0;buyout;europe;;;;;;;;€120m;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund II (€120m*);clean_extraction;;
Fund II (;Fund;2024.0;buyout;europe;;;;;;;;€ 300;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund II (€300*);clean_extraction;;
Fund III (;Fund;2024.0;buyout;europe;;;;;;;;€100m;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund III (€100m*);clean_extraction;;
Fund III (;Fund;2024.0;buyout;europe;;;;;;;;€ 1,20;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund III (€1,200);clean_extraction;;
Fund V (;Fund;2024.0;buyout;europe;;;;;;;;€ 500;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund V (€500-600*);clean_extraction;;
Fund VI (;Fund;2024.0;buyout;europe;;;;;;;;€ 1,25;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund VI (€1,250);clean_extraction;;
Fund X (;Fund;2024.0;buyout;europe;;;;;;;;€ 350;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Fund X (€350**);clean_extraction;;
M80 Capital Fund II (;M80 Capital;2024.0;buyout;europe;;;;;;;;€ 250;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;M80 Capital Fund II (€250*);clean_extraction;;
Nordian Fund IV (;Nordian Fund;2024.0;buyout;europe;;;;;;;;€ 350;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Nordian Fund IV (€350-400m*);clean_extraction;;
Nyver Fund I (;Nyver Fund;2024.0;buyout;europe;;;;;;;;€ 335;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;4;Nyver Fund I (€335);clean_extraction;;
* Amsterdam NewPort Capital NewPort Buyout Fund III 2024;* Amsterdam NewPort Capital;2026.0;buyout;europe;;;;;;;;€ 175;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Almelo/Woerden Strada Partners Strada Partners Fund I 2023;Almelo/Woerden Strada Partners;2026.0;buyout;europe;;;;;;;;€ 200;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
