fund_name,manager_name,vintage_year,strategy,geography,irr,tvpi,dpi,nav,commitment,paid_in,distributions,fund_size,source_name,source_file,source_page,raw_text,data_quality_flag,irr_numeric,tvpi_numeric,dpi_numeric,irr_vintage_percentile,irr_vintage_quartile,tvpi_vintage_percentile,tvpi_vintage_quartile,dpi_vintage_percentile,dpi_vintage_quartile,irr_quartile_score,tvpi_quartile_score,dpi_quartile_score,overall_quartile_score,overall_vintage_quartile,vintage_benchmark_label,internal_score,allocator_memo_short
Fund (,Fund (,2021.0,buyout,europe,,,,,,,,€75,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,Fund (€75)1,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Fund ( by Fund ( is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fund 8 (,Fund 8 (,2021.0,buyout,europe,,,,,,,,"€1,500",Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,"Fund 8 (€1,500)",clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fund 8 ( by Fund 8 ( is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fund I (,Fund,2021.0,buyout,europe,,,,,,,,€200,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,Fund I (€200),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fund I ( by Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
PE II (,PE,2021.0,buyout,europe,,,,,,,,€377,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,PE II (€377),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"PE II ( by PE is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Rivean Buyout Fund VII (,Rivean Buyout Fund,2021.0,buyout,europe,,,,,,,,"€1,580",Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,3,"Rivean Buyout Fund VII (€1,580)",clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Rivean Buyout Fund VII ( by Rivean Buyout Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Buyout Fund III (,Buyout Fund,2024.0,buyout,europe,,,,,,,,€175,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,Buyout Fund III (€175*),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Buyout Fund III ( by Buyout Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Capital Fund III (,Capital Fund,2024.0,buyout,europe,,,,,,,,€250m,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,Capital Fund III (€250m*),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capital Fund III ( by Capital Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Capital Fund IV (,Capital Fund,2024.0,buyout,europe,,,,,,,,€700,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,Capital Fund IV (€700**),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capital Fund IV ( by Capital Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fund I (,Fund,2024.0,buyout,europe,,,,,,,,€300m,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,Fund I (€300m*),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fund I ( by Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fund II (,Fund,2024.0,buyout,europe,,,,,,,,€120m,Evercore PFG,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,4,Fund II (€120m*),clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fund II ( by Fund is included from Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
